artist_name,track_name,track_id,track_popularity,artist_id,artist_popularity,artist_genres,artist_followers
Bad Bunny,Yonaguni,2JPLbjOn0wPCngEot2STUS,82,4q3ewBCX7sLwd24euuV69X,95,"['reggaeton', 'trap latino', 'urbano latino']",77860138
Morgan Wallen,Somebody’s Problem,42lqBjPYlmL1EXpMDXvhSN,72,4oUHIQIBe0LHzYfvXNW4QM,85,['contemporary country'],7951705
Farruko,Pepas,5fwSHlTEWpluwOM0Sxnh5k,82,329e4yvIujISKGKz1BZZbO,81,"['reggaeton', 'trap latino', 'urbano latino']",15761172
Rod Wave,Tombstone,3zc8VZEpM1onYV4FWGdFvm,71,45TgXXqMDdF8BkjA83OM7z,79,['florida rap'],6162251
Måneskin,I WANNA BE YOUR SLAVE,4pt5fDVTg5GhEvEtlz9dKk,83,0lAWpj5szCSwM4rUMHYmrr,79,"['indie rock italiano', 'italian pop']",8310596
Kodak Black,Super Gremlin,4A8cWXxKfIL3lAyUDzXbCF,73,46SHBwWsqBkxI7EeeBEQG7,79,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",10027086
NEIKED,Better Days (NEIKED x Mae Muller x Polo G),6f5ExP43esnvdKPddwKXJH,76,5H6xmHXjsq98NLbEjuE29f,59,['scandipop'],171175
Maroon 5,Beautiful Mistakes (feat. Megan Thee Stallion),5zFglKYiknIxks8geR8rcL,80,04gDigrS5kc9YWfZHwBETP,83,['pop'],41693619
Taylor Swift,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),2CYVETnhM9aytqrazYYwrK,77,06HL4z0CvFAxyc27GXpf02,100,['pop'],96509805
Taylor Swift,You Belong With Me (Taylor’s Version),4P7LVHDbzn7aI6wWRh5AHc,79,06HL4z0CvFAxyc27GXpf02,100,['pop'],96509805
AJR,Bang!,4SQLQfcR0vhyIN4uPBlc0d,69,6s22t5Y3prQHyaHWUN1R1C,73,['pov: indie'],3154479
Tory Lanez,Lady Of Namek,6ieWL5CLN9WdC875guWtMe,76,2jku7tDXc6XoB6MO2hFuqg,80,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",6253762
Elton John,Cold Heart - PNAU Remix,7rglLriMNBPAyuJOMGwi39,71,3PhoLpVuITZKcymswpck5b,82,"['glam rock', 'mellow gold', 'piano rock', 'rock']",12644157
Zeph,could you love me while i hate myself,7uo2L5FAja3pWIBa3HJVeC,80,502gYHkFCtLzBIcU4ctPLd,63,['gen z singer-songwriter'],151858
Gracie Abrams,Mess It Up,0PLhwCmQ7cC3ThRGPn3HxF,77,4tuJ0bMpJh08umKkEXKUI5,72,['alt z'],1422464
Morgan Wallen,Warning,64SCQtbRtmO28ks1QhS3w5,71,4oUHIQIBe0LHzYfvXNW4QM,85,['contemporary country'],7951705
Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),4iJyoBOLtHqaGxP12qzhQI,83,1uNFoZAHBGtllmzznpCI3s,88,"['canadian pop', 'pop']",74695731
Lil Nas X,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,82,7jVv8c5Fj3E9VhNjxT4snq,75,['lgbtq+ hip hop'],12469145
Baby Keem,family ties (with Kendrick Lamar),7Bpx2vsWfQFBACRz4h3IqH,74,5SXuuuRpukkTvsLuUknva1,77,"['hip hop', 'rap']",1939858
Elton John,Cold Heart - PNAU Remix,6zSpb8dQRaw0M1dK8PBwQz,84,3PhoLpVuITZKcymswpck5b,82,"['glam rock', 'mellow gold', 'piano rock', 'rock']",12644157
Morgan Wallen,865,0sKEilrw1GrBlG6qsTCrP4,71,4oUHIQIBe0LHzYfvXNW4QM,85,['contemporary country'],7951705
Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),5Z9KJZvQzH6PFmb8SNkxuk,79,7jVv8c5Fj3E9VhNjxT4snq,75,['lgbtq+ hip hop'],12469145
22Gz,Twirlanta,3DHB4RzX7kWcpjjFtcmWqh,75,4JhbRL6zaItAyzqx4gHTqz,59,"['brooklyn drill', 'nyc rap']",455778
